asset,threshold_sigma,n_obs,count_extreme,expected_gaussian,prob_gaussian
SPY,3,2809,39,7.5837271416979215,0.002699796063260207
SPY,4,2809,21,0.17792903661846804,6.334248366623996e-05
SPY,5,2809,10,0.0016104085310664207,5.733031438470704e-07
BTC,3,2809,51,7.5837271416979215,0.002699796063260207
BTC,4,2809,17,0.17792903661846804,6.334248366623996e-05
BTC,5,2809,6,0.0016104085310664207,5.733031438470704e-07
